Anno,Triennale	,Magistrale	,Ricercatrice,P. Associate,P. Ordinarie

2012,44.731,46.839,48.004,36.522,20.205
2015,43.005,45.992,49.914,38.619,21.106
2018,41.582,43.329,49.719,41.534,23.525
2021,41.270,44.729,47.790,44.242,25.788
